"label","text"
"1","Crime & summer staat op de cover. Dat zijn woorden die goed bij dit boek passen.  Het is een spannend, erotisch, zinnenprikkelend verhaal om van te genieten in de (na)zomer. De cover laat een vrouw of meisje zien die op een koffer zit. Niet spannend, zou je zeggen. Maar laat deze cover je niet misleiden.  Het boek is niet zo verschrikkelijk spannend dat je niet alleen durft te gaan slapen, maar het is een heerlijk spannend verhaal. Dit verhaal laat je niet los en je wilt verder lezen om het het naadje van de kous te weten. De korte zinnen, zonder poespas zorgen er voor dat het boek gemakkelijk leest. De erotiek die aanwezig is past helemaal in het verhaal en is niet vunzig, maar wel heftig te noemen.  Jessica gaat op onderzoek uit nadat iets vreselijks is gebeurd. Ze zoekt naar antwoorden, maar krijgt alleen maar meer vragen te verwerken; 'Ik wrijf over mijn voorhoofd. Hier begrijp ik helemaal niets van. Wat heeft een camping met een galerie te maken? Het raadsel wordt er alleen maar groter door, en toch moet het een betekenis hebben.'  De personages zijn duidelijk beschreven. Je leert ze gaandeweg het verhaal goed kennen. Met name het personage Danielle wordt steeds duidelijker doordat je haar verhaallijn leest, naast de verhaallijn van Jessica. De verhaallijnen zijn in een ander lettertype gedrukt waardoor je meteen merkt dat de verhaallijn veranderd is van personage. De verhaallijnen komen steeds dichter bij elkaar naarmate je verder leest in het boek.  Ik heb het boek in de tuin gelezen, lekker in de zon. Het verhaal eindigt op een hier bijzonder passende manier; met een knal!"
"0","Door de Hebban Zomerlezenactie kwam ik in het bezit van Martin Michael Driessen's ""De Pelikaan"". Mooie actie, Hebban, bedankt! Helaas vond ik het boek niet sterk: De personages blijven vlak, de emoties nog meer. Dat het dorp klein is, en dat er niets gebeurt, betekent niet dat alle mensen daar dom zijn! Maar die indruk krijg je wel. Ook bevat het boek overbodige opmerkingen. Voorbeeld: er wordt opgemerkt dat de hond te dik wordt, maar dat gegeven verdwijnt in een zwart gat. Er wordt vermeld dat Andrej een afkeer van pelikanen heeft, maar waar die vandaan komt wordt niet toegelicht. Dan dragen die opmerkingen ook niets bij aan het verhaal. Gevoelens worden wel genoemd en beschreven, maar niet voelbaar gemaakt. Het boek wekt geen nieuwsgierigheid, spanning, plezier, droefheid of wat ook op. Zelfs de beschreven oorlog blijft van bordkarton... Jammer want het gegeven is niet onaardig."
"1","Dan Brown neemt ons deze keer mee op reis naar Italië waar Robert Langdon tot zijn schrik ontwaakt in een ziekenhuis in Florence met een wond aan zijn hoofd waarvan hij geen idee heeft hoe hij daar aan komt. Hij is een heel stuk van zijn geheugen kwijt en heeft daardoor ook geen flauw benul van hoe hij in Florence terecht is gekomen. Hij kan zich dan ook niets herinneren van een reis vanuit de VS.  Veel tijd om bij te komen krijgt hij niet want al snel blijkt dat iemand het op hem gemunt heeft. Wanneer een dame opduikt die duidelijk van plan is hem te doden helpt zijn behandeld arts hem om te vluchten. Robert wil heel graag weten waarom men hem om wil brengen en vooral ook wat hij kwijt is uit zijn geheugen en een geweldige puzzeltocht langs bijzondere historische plekken volgt.  Het was weer ouderwets genieten van dit boek. Vele historische feiten en plekken passeren de revue zoals het ""hoort"" in een Dan Brown. Het viel me wel op dat er deze keer veel minder bloed vloeit, maar dat doet gelukkig aan de spanning en het leesplezier niets af. Voor wie de voorgaande boeken van Dan Brown ook gelezen heeft, is het plot wel enigszins voorspelbaar, want een bepaalde twist, die ik verder niet zal noemen om het plezier niet te bederven, komt eigenlijk altijd wel in zijn boeken voor. Ik zeg dit wel met de nadruk op enigszins want er was toch ook nog een heel deel dat mij zeker nog verrast heeft. Wat mij betreft weer een dikke 4 sterren."
"0","Ik vond het boek tegenvallen. Had er veel meer van verwacht. Ik vond dat er verkeerde personen en relaties te ver uitgediept werden en dat komt het verhaal naar mijn idee niet ten goede. Jammer."
"1","Kelly wil gewoon haar leven weer op de rails krijgen. Je wil blijven verder lezen omdat je benieuwd bent naar het einde. Een realistisch verhaal zonder melig gedoe. Vlot geschreven. Een aanrader !"
"0","De achterflaptekst op dit boek, die onder meer een aantal zeer positief gestemde flarden uit recensies van gerenommeerde kranten bevatte, stemde mij in eerste instantie nog wel hoopvol, maar na de eerste pagina’s was daar erg weinig (om niet te zeggen: niets) meer van over. De verbazing groeide. Want ook recensies die ik hier en daar op internet vond, waren over het algemeen zeer positief. Het ontgaat mij echter te enen male wat men aan vindt aan dit boek. Erwin Mortier schrijfstijl deed mij een beetje denken aan die van die andere Belg, Hugo Camps. Die heeft naar mijn idee ook erg de neiging aan mooischrijverij te doen. In zijn korte columns en interviews destijds in Elsevier is dat nog niet zo hinderlijk, maar bij Erwin Mortier begon me het al na een paar pagina’s te irriteren. Mortier begint niet gewoon zijn verhaal te vertellen, maar blijft naar mijn idee hangen in een poging alleen maar monumentale zinnen te schrijven, waardoor het geheel een brij van labyrintische pseudopoëzie wordt waar met de beste wil van de wereld niet doorheen te komen is. Nee, dit was absoluut niet mijn kop thee, wat een flop!"
"1","Waar rook is... is een weergaloos knap gecomponeerde thriller met een ongekende psychologische diepgang."
"0","Jack Irish is weduwnaar, advocaat, part-time speurneus en gokker. Hij houdt zich het liefst op met mannen die er een wat onconventioneel leven op na houden. Zijn vriendin Linda blijkbaar niet, want die heeft als het verhaal begint net een mooie baan in een andere stad aangenomen, en het ziet er naar uit dat ze voorlopig niet terugkomt. Een oude vriend van Jacks vader vraagt hem op een dag om zijn zoon Gary op te sporen. Gary heeft een kapitaal bedrag geleend van zijn vader en is vervolgens verdwenen. Jack komt wel heel eigenaardige zaakjes op het spoor, met een luchtje er aan   Zo te zien aan het verhaal is het leven van iemand die zijn tijd doorbrengt met speuren, gokken en rechtbanken, niet zoveel anders in Australië als in bijvoorbeeld Engeland of Amerika. Jack Irish dwaalt van ontmoeting naar ontmoeting, eet hier eens een hapje, drinkt daar eens een drankje, is ´s avonds thuis heel eenzaam en verricht tussendoor wonderen op het gebied van het gokken op paarden en het vinden van verdwenen mensen. Dit boek is best ´spannend´ te noemen, maar de auteur heeft het volgepropt met korte ontmoetingen in bars en restaurants, waar Jack dan moet luisteren naar verhalen van andere mensen over andere mensen. Die grote hoeveelheid namen maakt het allemaal erg omslachtig en verwarrend. Je weet als lezer namelijk niet welke informatie je moet onthouden en welke je onmiddellijk weer mag vergeten. Daarnaast is het mij in elk geval af en toe volslagen duister waarom Jack bepaalde dingen doet.  Het geheel heeft een beetje een ´ouderwets´ tintje; alsof de auteur een poging heeft gedaan de sfeer van de ´film noir´ op te roepen. Bij mij riep dit echter alleen verwarring op."
"1","Kwaad licht is de Nederlandse titel van het derde boek van thrillerauteur Mikaela Bley (1979) en dat is een rake titel. Want in een kwaad licht komt ze inderdaad te staan, de fictieve Zweedse minister van justitie Louise Bohman. Als haar persvoorlichter dood wordt aangetroffen, wordt er niets dan drek over haar uitgestort. En via haar maakt de lezer deze mediahetze volop mee om met dichtgeknepen keel achter te blijven. Wordt Louise er terecht van verdacht iets met de zaak van doen te hebben of niet? Dat is uiteraard de vraag die door het verhaal heen speelt en wederom is het de even springerige als getormenteerde misdaadjournaliste Ellen Tamm van TV4 die de zaak onderzoekt. Of het ooit terecht kan zijn dat iemand zo belaagd wordt is echter een heel andere kwestie.    Mikaela Bley is een Zweedse auteur wiens thrillers primair psychologisch van aard zijn. Haar serie over Ellen Tamm heeft als eerdere delen Dochter vermist en Donker water. De vertaling van Kwaad licht komt voor rekening van Tineke Jorissen-Wedzinga en Sophie Kuiper, die nergens laten merken met hun tweeën te zijn. Dat Ellen als misdaadverslaggever werkt bij de televisiezender TV4, heeft te maken met het feit dat Bley daar zelf ook voor heeft gewerkt, zij het niet als reporter.    Net als in de vorige delen lopen er in Kwaad licht twee verhaallijnen synchroon. Eentje betreffende de zaak die rondom de minister speelt en eentje die over Ellens privéleven gaat. Tussen beide lijnen lopen een aantal parallellen; overeenkomsten die ervoor zorgen dat de heldin extra gemotiveerd achter de waarheid aangaat.    De toestanden beginnen wanneer Anders Heed, persvoorlichter van de minister van justitie, dood wordt gevonden. Het is niet meteen duidelijk of het zelfmoord of moord was, maar de media opent evengoed de jacht op de plompe minister Bohman. Deze wordt hoe dan ook (mede)verantwoordelijk gehouden voor het ontijdige overlijden van Heed en afgeschilderd als ultieme feeks. Dat is tegen het zere been van Ellen, die besluit voor TV4 een portret van Bohman te maken waarin een heel ander beeld wordt gegeven. Dat blijkt echter niet mee te vallen als ook de politie achter de minister aangaat en deze zich bovendien niet kan herinneren wat er is gebeurd.    Hiernaast wordt ook het persoonlijke verhaal van Ellen, zoals dat in de vorige delen vorm heeft gekregen, vervolgd. De gebeurtenissen uit vooral Donker water hebben ertoe geleid dat Ellen nu wordt gestalkt door een serieus gestoorde vent. Ondertussen gaat het haar ook om andere reden niet zo goed en moet ze vechten om het hoofd boven water te houden. Gelukkig kan ze zich begraven in haar werk en komt er ook steun uit onverwachte hoek.    De stalker is misschien niet zo origineel, maar afdoende dreigend om de lezer al vroeg in het boek de klamme rillingen te bezorgen. Ook wanneer die de vorige delen niet heeft gelezen en de voorgeschiedenis niet kent. Daarmee weet Bley zich aardig te ontworstelen aan de kritiek op haar vorige boeken dat deze niet spannend waren. In Kwaad licht zit de vaart er goed in, is de situatie rond Ellen eng en die rond Louise verbijsterend en geheimzinnig genoeg om de aandacht vast te houden. Soms dikt Bley de zaken wat overdadig aan, maar toch blijft het verhaal boeien en is er redelijk wat actie voor een psychologische thriller. Om dit boek eerder te lezen dan de andere delen is echter onverstandig vanwege spoilers.  Uiteindelijk is Kwaad licht een meeslepende thriller met een tamelijk origineel, op deugdelijke research gebaseerd hoofdverhaal en een lange tijd goed verstopt gebleven onthulling aan het eind. Waarom het boek op de kaft wordt aangekondigd als literaire thriller wordt echter niet duidelijk. Dat zou immers betekenen dat Mikaela Bley op stilistisch gebied iets extra’s heeft te bieden in vergelijking met andere thrillerauteurs, maar dat is niet het geval. Bevlogen is het boek echter wel en hoe dan ook de moeite waard."
"0","Van een goed boek verwacht ik na een stukje lezen (bvb 's avonds voor het slapen gaan, of op de trein) wanneer ik het boek effen opzij leg, ik verder blijf denken aan- , en genieten van het verhaal (noem het een soort betrokkenheid met de personages). In dit verhaal heb ik deze belevenis nooit gevoeld. Ik vind het een oppervlakkig en goedkoop (slecht) verhaal. Wat mij zorgen baart is dat de uitgeverij Hebban refereert met 5 sterren. Dit vind ik ongepast, Ik deel deze mening alvast niet."
